id,country,city,age,income
1854,Germany,Frankfurt,58,41986.99
1855,USA,New York,34,31829.79
1856,India,Bangalore,21,54990.64
1857,Germany,Berlin,69,48332.22
1858,Germany,Munich,68,80279.29
1859,USA,Chicago,56,57799.07
1860,Canada,Vancouver,18,79370.56
1861,France,Paris,58,35581.12
1862,Brazil,Rio de Janeiro,62,45037.88
1863,Canada,Vancouver,41,63351.7
1864,India,Mumbai,51,58833.64
1865,Germany,Munich,51,49765.57
1866,USA,Los Angeles,41,33852.82
1867,USA,Los Angeles,76,17325.87
1868,France,Marseille,79,46701.02
1869,Canada,Vancouver,32,47341.59
1870,France,Paris,34,51920.72
1871,Germany,Frankfurt,30,28315.79
1872,France,Marseille,24,36810.71
1873,Brazil,Sao Paulo,26,55877.84
1874,USA,Los Angeles,61,58775.6
1875,USA,Chicago,52,53014.4
1876,India,Bangalore,40,44801.68
1877,India,Bangalore,71,32194.03
1878,Germany,Munich,64,64308.37
1879,Brazil,Brasilia,56,60904.62
1880,Canada,Toronto,40,41387.85
1881,France,Lyon,43,62498.27
1882,Germany,Berlin,18,48963.83
1883,India,Mumbai,31,39765.16
1884,France,Marseille,49,63900.9
1885,India,Bangalore,68,51502.51
1886,France,Marseille,65,43578.41
1887,Canada,Toronto,27,30765.33
1888,Germany,Munich,18,32154.28
1889,France,Marseille,22,62705.12
1890,Brazil,Brasilia,20,56793.7
1891,USA,New York,66,32455.35
1892,Brazil,Rio de Janeiro,67,32170.77
1893,Brazil,Sao Paulo,75,81538.01
1894,USA,Chicago,70,56969.38
1895,Brazil,Sao Paulo,44,68143.13
1896,France,Marseille,68,72383.82
1897,France,Lyon,71,36077.44
1898,France,Paris,74,76141.38
1899,USA,Chicago,39,33832.72
1900,Brazil,Brasilia,35,60938.01
1901,USA,Chicago,33,48260.3
1902,France,Marseille,19,60852.38
1903,Brazil,Sao Paulo,64,46839.38
1904,Brazil,Brasilia,30,58235.34
1905,India,Mumbai,62,70428.51
1906,India,Bangalore,33,66794.78
1907,Canada,Toronto,25,49071.43
1908,Germany,Berlin,60,35696.43
1909,India,Bangalore,25,45536.71
1910,USA,Chicago,71,56662.56
1911,India,Bangalore,27,59780.02
1912,Canada,Montreal,72,66050.3
1913,Brazil,Rio de Janeiro,50,39034.15
1914,Canada,Montreal,48,36014.86
1915,Brazil,Brasilia,29,34703.28
1916,Brazil,Brasilia,26,47044.1
1917,Germany,Berlin,54,53213.29
1918,India,Bangalore,26,55549.36
1919,USA,New York,65,28784.34
1920,USA,New York,35,35699.54
1921,France,Paris,47,39461.68
1922,Brazil,Sao Paulo,49,76364.05
1923,USA,Los Angeles,57,44283.56
1924,Germany,Frankfurt,40,27848.98
1925,Brazil,Sao Paulo,28,55722.3
1926,Germany,Frankfurt,79,48370.69
1927,USA,New York,37,32376.36
1928,USA,Los Angeles,36,42895.28
1929,France,Paris,53,44879.28
1930,USA,Chicago,69,48153.03
1931,Brazil,Brasilia,43,63949.56
1932,Brazil,Rio de Janeiro,27,58407.87
1933,Brazil,Brasilia,41,51875.49
1934,France,Marseille,30,64791.63
1935,France,Paris,78,43852.9
1936,USA,Chicago,69,39123.04
1937,Canada,Toronto,63,54631.08
1938,Canada,Vancouver,70,53473.1
1939,France,Marseille,51,27861.39
1940,USA,New York,46,72398.52
1941,Canada,Montreal,53,34718.78
1942,USA,New York,24,57942.08
1943,USA,Los Angeles,68,58291.43
1944,USA,New York,47,3701.01
1945,India,Bangalore,79,53408.28
1946,Brazil,Sao Paulo,34,74561.22
1947,USA,Chicago,65,39348.08
1948,India,Delhi,30,21531.92
1949,France,Paris,73,48242.22
1950,Canada,Montreal,41,56990.77
1951,Brazil,Brasilia,71,48691.5
1952,Canada,Montreal,72,35745.05
1953,Brazil,Sao Paulo,48,34545.7
1954,Canada,Toronto,75,25667.52
1955,Brazil,Sao Paulo,44,21875.71
1956,Canada,Vancouver,67,44854.2
1957,Canada,Montreal,38,56360.47
1958,Canada,Montreal,61,52387.41
1959,Canada,Vancouver,72,53763.36
1960,France,Lyon,74,59477.42
1961,USA,New York,18,69623.39
1962,Germany,Berlin,32,50414.62
1963,India,Mumbai,20,55171.12
1964,Germany,Berlin,23,55270.98
1965,Germany,Berlin,31,52209.64
1966,Brazil,Sao Paulo,72,50288.51
1967,USA,Los Angeles,55,51504.7
1968,Brazil,Rio de Janeiro,50,73422.82
1969,USA,Los Angeles,69,71486.85
1970,USA,Chicago,55,24393.23
1971,Canada,Montreal,25,53279.26
1972,France,Paris,43,50104.94
1973,Canada,Vancouver,32,68902.58
1974,France,Marseille,31,49463.19
1975,Brazil,Brasilia,65,53772.36
1976,France,Lyon,37,40251.18
1977,Brazil,Brasilia,72,62201.56
1978,Germany,Frankfurt,65,31341.24
1979,Germany,Munich,76,45419.76
1980,France,Marseille,36,34186.62
1981,France,Lyon,73,45486.33
1982,Brazil,Brasilia,50,41765.66
1983,Canada,Vancouver,53,62553.61
1984,Brazil,Brasilia,41,46716.27
1985,Canada,Montreal,27,72377.28
1986,Germany,Munich,69,46386.2
1987,USA,Chicago,67,33758.56
1988,France,Lyon,51,46359.42
1989,Canada,Vancouver,53,57152.3
1990,Brazil,Brasilia,64,75298.25
1991,Germany,Berlin,78,40327.45
1992,Canada,Montreal,53,74880.49
1993,Brazil,Sao Paulo,33,47151.22
1994,France,Paris,32,43321.93
1995,France,Marseille,35,61634.92
1996,India,Mumbai,24,71350.37
1997,USA,Los Angeles,64,58356.86
1998,India,Delhi,39,28776.4
1999,Germany,Berlin,49,54995.54
2000,Canada,Vancouver,60,82619.96
2001,Germany,Frankfurt,36,15834.04
2002,Brazil,Rio de Janeiro,57,55601.28
2003,France,Paris,73,45731.53
2004,India,Bangalore,18,35962.42
2005,India,Delhi,52,65500.79
2006,India,Bangalore,22,23933.1
2007,Germany,Berlin,67,44746.87
2008,France,Lyon,29,65016.91
2009,Canada,Montreal,29,63302.05
2010,Brazil,Brasilia,38,58946.88
2011,Canada,Vancouver,76,52591.67
2012,Germany,Frankfurt,75,48140.06
2013,Brazil,Brasilia,36,42946.98
2014,India,Mumbai,26,35430.22
2015,USA,New York,60,62198.89
2016,Germany,Berlin,66,53164.42
2017,Germany,Berlin,65,62643.89
2018,France,Paris,53,38280.77
2019,Canada,Toronto,59,37953.9
2020,Germany,Munich,71,57449.3
2021,Germany,Berlin,64,15837.87
2022,India,Bangalore,74,12067.64
2023,India,Delhi,68,65197.21
2024,Brazil,Brasilia,49,39392.18
2025,USA,New York,52,52895.57
2026,France,Paris,48,55694.73
2027,USA,Chicago,77,65526.96
2028,Brazil,Brasilia,70,43400.52
2029,India,Bangalore,72,44220.4
2030,Canada,Vancouver,49,40768.93
2031,India,Mumbai,79,59316.52
2032,France,Marseille,54,59982.42
2033,India,Mumbai,49,69173.55
2034,France,Marseille,60,31302.48
2035,France,Paris,73,83506.44
2036,France,Lyon,54,45313.3
2037,Brazil,Sao Paulo,56,49274.64
2038,France,Marseille,55,52451.41
2039,France,Paris,47,36338.18
2040,Canada,Vancouver,75,43825.71
2041,USA,Los Angeles,49,71909.02
2042,Germany,Berlin,62,72142.85
2043,USA,Chicago,19,53076.65
2044,France,Lyon,68,65656.81
2045,Canada,Vancouver,28,56162.69
2046,India,Mumbai,76,49142.74
2047,Canada,Vancouver,37,38693.61
2048,France,Lyon,54,37078.17
2049,Canada,Montreal,26,38634.67
2050,Canada,Montreal,55,74222.86
2051,France,Marseille,66,63098.56
2052,Brazil,Sao Paulo,36,71614.68
2053,Canada,Vancouver,72,55995.19
2054,Germany,Berlin,57,36792.55
2055,Germany,Munich,24,59049.82
2056,Canada,Vancouver,22,69046.12
2057,Brazil,Rio de Janeiro,64,59596.27
2058,India,Bangalore,59,30248.14
2059,France,Paris,41,27886.36
2060,Germany,Berlin,65,59545.93
2061,India,Delhi,58,45312.2
2062,Canada,Toronto,24,54685.83
2063,India,Bangalore,28,39147.59
2064,USA,New York,26,51901.09
2065,Germany,Munich,66,33495.74
2066,Canada,Montreal,47,53706.84
2067,France,Marseille,58,60925.16
2068,Brazil,Rio de Janeiro,20,61756.17
2069,Canada,Toronto,39,30399.71
2070,France,Lyon,57,57034.28
2071,Brazil,Sao Paulo,68,41186.19
2072,Brazil,Sao Paulo,37,72904.87
2073,Canada,Montreal,49,64341.34
2074,India,Delhi,65,50387.84
2075,India,Bangalore,24,82730.41
2076,Brazil,Rio de Janeiro,77,39084.57
2077,India,Delhi,24,49145.19
2078,USA,Chicago,37,58119.9
2079,Brazil,Rio de Janeiro,42,80517.31
2080,Brazil,Rio de Janeiro,62,71954.16
2081,France,Paris,52,62026.1
2082,India,Delhi,61,36838.59
2083,Brazil,Rio de Janeiro,41,36816.67
2084,USA,Chicago,57,60430.79
2085,France,Marseille,30,31212.93
2086,Canada,Vancouver,69,54805.48
2087,Brazil,Sao Paulo,65,62063.42
2088,USA,New York,56,27834.33
2089,Germany,Frankfurt,21,59717.88
2090,USA,Los Angeles,78,63438.23
2091,USA,Los Angeles,29,44550.78
2092,France,Paris,34,47650.05
2093,Canada,Toronto,18,23185.47
2094,Germany,Berlin,79,48355.15
2095,India,Bangalore,34,27115.57
2096,India,Delhi,19,39650.68
2097,USA,Chicago,23,43966.3
2098,France,Lyon,61,32662.29
2099,France,Marseille,75,31295.2
2100,India,Delhi,28,32031.81
2101,Germany,Berlin,70,68310.68
2102,Canada,Toronto,60,48949.29
2103,Germany,Berlin,35,68995.07
2104,Brazil,Brasilia,57,43927.16
2105,Brazil,Sao Paulo,42,44249.18
2106,Canada,Vancouver,56,43646.75
2107,India,Bangalore,45,5271.02
2108,Canada,Vancouver,63,57598.24
2109,France,Marseille,33,48396.09
2110,Brazil,Rio de Janeiro,29,50771.06
2111,USA,Los Angeles,58,18633.79
2112,USA,Chicago,69,49570.54
2113,India,Bangalore,46,43421.72
2114,France,Paris,40,51884.33
2115,Germany,Berlin,38,48861.07
2116,France,Lyon,33,42719.08
2117,USA,Los Angeles,70,58446.7
2118,USA,Los Angeles,68,65370.45
2119,Brazil,Brasilia,65,43883.05
2120,France,Marseille,58,28274.66
2121,France,Paris,62,29261.92
2122,USA,Los Angeles,43,56342.38
2123,Germany,Berlin,54,69437.2
2124,India,Bangalore,39,22796.02
2125,India,Bangalore,68,34732.06
2126,France,Marseille,27,45012.47
2127,India,Mumbai,24,19396.56
2128,USA,Chicago,26,48550.06
2129,USA,Los Angeles,42,55446.81
2130,France,Paris,63,57196.97
2131,France,Marseille,32,44003.22
2132,Brazil,Sao Paulo,30,44653.01
2133,France,Paris,59,34680.99
2134,Germany,Frankfurt,63,23430.92
2135,India,Bangalore,43,47187.37
2136,France,Paris,38,56125.17
2137,Canada,Toronto,40,50240.28
2138,Brazil,Brasilia,78,66635.45
2139,Canada,Vancouver,61,55180.81
2140,USA,New York,45,59892.57
2141,India,Mumbai,78,52515.55
2142,France,Lyon,68,77887.4
2143,Canada,Montreal,55,42652.63
2144,India,Bangalore,29,60181.57
2145,USA,Los Angeles,41,53717.05
2146,Germany,Frankfurt,30,61070.27
2147,Brazil,Brasilia,57,55002.62
2148,India,Mumbai,65,49364.12
2149,India,Mumbai,19,55673.36
2150,Germany,Berlin,71,57550.29
2151,India,Delhi,56,59504.38
2152,USA,Chicago,29,71949.3
2153,USA,Chicago,56,52905.29
2154,Germany,Berlin,68,33539.38
2155,Brazil,Sao Paulo,31,52468.86
2156,France,Lyon,47,43326.21
2157,Canada,Montreal,58,42915.24
2158,France,Lyon,67,45178.7
2159,India,Bangalore,60,36459.06
2160,Canada,Vancouver,65,14008.88
2161,Germany,Berlin,36,72128.04
2162,Germany,Munich,48,42672.11
2163,Brazil,Rio de Janeiro,60,24283.02
2164,Canada,Toronto,67,52682.11
2165,USA,Chicago,60,59234.61
2166,Canada,Montreal,42,47329.04
2167,India,Mumbai,21,30670.82
2168,USA,Los Angeles,67,28765.79
2169,Germany,Munich,68,84224.16
2170,Canada,Vancouver,30,28844.46
2171,France,Marseille,53,25564.99
2172,Brazil,Rio de Janeiro,79,45368.57
2173,France,Marseille,59,62327.72
2174,Brazil,Rio de Janeiro,78,74877.46
2175,India,Mumbai,71,46800.52
2176,France,Paris,54,46593.44
2177,Canada,Montreal,20,30740.51
2178,Canada,Montreal,33,66323.77
2179,France,Paris,43,48954.18
2180,Canada,Toronto,57,49444.26
2181,India,Delhi,73,56501.58
2182,USA,New York,56,54527.54
2183,India,Bangalore,36,47895.78
2184,Brazil,Sao Paulo,63,69814.69
2185,India,Bangalore,32,25944.69
2186,Brazil,Brasilia,49,53169.41
2187,Canada,Vancouver,66,56107.54
2188,USA,Los Angeles,38,43814.1
2189,Canada,Vancouver,18,59246.75
2190,Germany,Munich,23,59946.33
2191,Canada,Toronto,44,66647.22
2192,Brazil,Rio de Janeiro,40,48326.6
2193,Canada,Toronto,64,46742.77
2194,Canada,Vancouver,48,58087.92
2195,USA,Los Angeles,29,47037.75
2196,Canada,Montreal,38,27179.84
2197,USA,New York,69,62936.35
2198,France,Marseille,19,22485.72
2199,Germany,Munich,22,56025.15
2200,USA,New York,26,88077.4
2201,Brazil,Rio de Janeiro,37,57998.22
2202,France,Marseille,63,39588.41
2203,USA,New York,35,43229.54
2204,USA,Chicago,78,55559.36
2205,Germany,Munich,39,49679.42
2206,Brazil,Rio de Janeiro,25,61343.79
2207,India,Delhi,51,71751.25
2208,India,Mumbai,26,69716.18
2209,USA,Chicago,24,32662.78
2210,Canada,Montreal,47,50239.98
2211,Brazil,Rio de Janeiro,78,57392.02
2212,France,Marseille,35,72754.15
2213,Canada,Toronto,44,55387.62
2214,Canada,Vancouver,33,39744.5
2215,Brazil,Rio de Janeiro,38,56525.64
2216,USA,Los Angeles,22,77289.28
2217,USA,New York,72,46213.98
2218,USA,Los Angeles,46,39479.96
2219,USA,Los Angeles,64,49512.93
2220,India,Delhi,54,40236.87
2221,USA,Los Angeles,60,62404.83
2222,India,Bangalore,79,40346.11
2223,India,Delhi,39,69387.99
2224,USA,New York,31,57429.29
2225,Germany,Munich,74,60454.97
2226,France,Lyon,36,60340.06
2227,Canada,Montreal,52,62778.04
2228,India,Delhi,41,45359.41
2229,Brazil,Brasilia,59,35329.0
2230,Brazil,Sao Paulo,77,42857.62
2231,France,Marseille,23,63895.31
2232,Brazil,Rio de Janeiro,77,23502.78
2233,Germany,Berlin,75,20005.99
2234,Brazil,Rio de Janeiro,20,53368.49
2235,Canada,Montreal,51,62663.63
2236,Canada,Toronto,62,64699.86
2237,India,Mumbai,67,35738.05
2238,USA,Chicago,19,32306.57
2239,Germany,Frankfurt,32,39708.19
2240,India,Mumbai,54,44108.02
2241,Germany,Berlin,32,44970.49
2242,USA,Chicago,77,51817.67
2243,Brazil,Rio de Janeiro,49,71084.38
2244,Brazil,Sao Paulo,38,49089.11
2245,USA,Chicago,34,64064.75
2246,India,Delhi,51,59819.91
2247,USA,New York,49,39346.29
2248,France,Paris,67,59646.42
2249,Canada,Montreal,64,58615.86
2250,India,Delhi,69,49991.75
2251,Germany,Berlin,40,52607.48
2252,France,Lyon,52,49132.85
2253,India,Delhi,54,33619.58
2254,USA,New York,60,85485.14
2255,USA,Los Angeles,58,65832.53
2256,USA,New York,54,57908.14
2257,USA,Los Angeles,74,43921.27
2258,Germany,Berlin,50,48623.09
2259,France,Marseille,42,32426.99
2260,Brazil,Sao Paulo,63,57049.08
2261,Canada,Toronto,54,55042.76
2262,Germany,Berlin,57,46901.65
2263,Germany,Munich,38,50448.73
2264,Brazil,Brasilia,63,45522.16
2265,Brazil,Rio de Janeiro,77,42587.99
2266,Canada,Vancouver,65,38354.19
2267,Canada,Toronto,55,34687.74
2268,Brazil,Rio de Janeiro,57,39471.44
2269,USA,New York,51,40623.07
2270,Germany,Frankfurt,36,66337.99
2271,India,Delhi,44,40720.37
2272,Canada,Vancouver,26,19488.3
2273,Canada,Vancouver,22,54375.38
2274,Brazil,Sao Paulo,22,59354.13
2275,France,Paris,42,64531.48
2276,India,Delhi,43,52492.46
2277,India,Delhi,36,32898.37
2278,Canada,Montreal,47,38016.06
2279,USA,Chicago,53,59002.46
2280,France,Marseille,65,71885.6
2281,India,Bangalore,65,32856.6
2282,Canada,Montreal,33,53178.77
2283,India,Mumbai,24,41675.89
2284,France,Marseille,35,37638.95
2285,France,Marseille,73,50524.95
2286,Germany,Munich,38,47995.29
2287,Brazil,Sao Paulo,48,19630.48
2288,Brazil,Brasilia,18,53023.88
2289,Canada,Montreal,20,54921.44
2290,France,Marseille,48,61209.83
2291,Germany,Munich,42,41409.42
2292,Germany,Munich,70,26182.51
2293,India,Delhi,25,43680.36
2294,India,Bangalore,18,60588.89
2295,Germany,Munich,79,48862.01
2296,India,Bangalore,24,62739.61
2297,France,Paris,24,30486.45
2298,USA,Chicago,25,62181.46
2299,France,Lyon,36,53735.68
2300,Germany,Berlin,34,44676.47
2301,Germany,Frankfurt,28,66055.3
2302,France,Paris,64,53600.36
2303,India,Mumbai,58,35236.9
2304,India,Mumbai,66,64728.11
2305,Brazil,Brasilia,28,46374.29
2306,Germany,Munich,55,50554.2
2307,Canada,Montreal,58,37050.6
2308,Brazil,Rio de Janeiro,79,49224.84
2309,India,Bangalore,67,35809.07
2310,France,Marseille,69,47417.09
2311,India,Bangalore,19,50460.2
2312,France,Lyon,21,59086.61
2313,Brazil,Brasilia,67,28900.86
2314,Germany,Berlin,45,65044.98
2315,India,Bangalore,50,65514.53
2316,France,Paris,28,47165.16
2317,Germany,Munich,20,51935.83
2318,Canada,Vancouver,57,54597.86
2319,France,Marseille,22,51250.54
2320,Brazil,Brasilia,69,59051.44
2321,Canada,Montreal,38,44191.41
2322,Canada,Toronto,39,38598.07
2323,USA,Los Angeles,71,56422.52
2324,India,Mumbai,54,27112.38
2325,France,Paris,77,59285.67
2326,Canada,Montreal,28,60838.75
2327,USA,Chicago,61,38265.61
2328,Brazil,Sao Paulo,39,71331.3
2329,Germany,Berlin,58,44732.62
2330,France,Marseille,70,43441.39
2331,Canada,Montreal,30,40197.18
2332,India,Mumbai,71,56721.56
2333,USA,Chicago,69,44129.58
2334,Canada,Montreal,78,28442.99
2335,India,Mumbai,20,55124.28
2336,Canada,Toronto,30,45630.62
2337,France,Lyon,45,66288.89
2338,France,Paris,71,54631.51
2339,France,Marseille,28,53992.32
2340,Brazil,Sao Paulo,28,65217.61
2341,Brazil,Sao Paulo,38,52400.23
2342,USA,New York,69,61732.98
2343,France,Lyon,38,40252.29
2344,India,Delhi,24,74690.58
2345,Canada,Montreal,34,54131.47
2346,Germany,Munich,65,31974.02
2347,India,Mumbai,31,52067.85
2348,Brazil,Rio de Janeiro,50,52799.99
2349,Brazil,Sao Paulo,28,51871.93
2350,India,Delhi,30,15501.86
2351,Brazil,Rio de Janeiro,18,41778.75
2352,France,Lyon,51,29257.24
2353,USA,New York,26,29474.65
2354,Canada,Vancouver,30,52496.28
2355,USA,New York,54,41587.4
2356,Canada,Toronto,47,44543.92
2357,Canada,Montreal,58,36575.93
2358,USA,Los Angeles,62,70689.68
2359,India,Bangalore,54,50598.22
2360,Canada,Montreal,64,27152.11
2361,USA,New York,79,59660.72
2362,Canada,Vancouver,24,44862.16
2363,Germany,Berlin,31,67904.89
2364,India,Mumbai,79,49878.3
2365,France,Lyon,65,39561.47
2366,Canada,Toronto,23,41869.3
2367,Germany,Munich,51,43964.26
2368,France,Lyon,33,57346.34
2369,France,Paris,68,38223.49
2370,Canada,Toronto,54,68655.21
2371,USA,Chicago,53,55528.55
2372,Canada,Toronto,63,53366.03
2373,Germany,Munich,76,51095.69
2374,France,Marseille,23,49698.48
2375,Canada,Vancouver,25,30957.13
2376,USA,Chicago,41,54388.0
2377,Canada,Toronto,20,78886.02
2378,India,Mumbai,21,60377.32
2379,USA,New York,49,56576.84
2380,Germany,Munich,18,26975.51
2381,France,Marseille,51,66292.02
2382,Canada,Vancouver,62,62037.53
2383,USA,Chicago,26,67511.42
2384,India,Mumbai,29,36442.15
2385,USA,Los Angeles,27,44001.99
2386,Brazil,Sao Paulo,27,27713.46
2387,India,Delhi,67,26449.11
2388,Germany,Berlin,61,41346.23
2389,France,Lyon,71,57016.48
2390,Germany,Munich,79,43753.71
2391,Canada,Montreal,65,39962.79
2392,USA,New York,40,55091.54
2393,Brazil,Brasilia,23,1367.66
2394,India,Bangalore,41,41863.8
2395,India,Mumbai,74,55074.49
2396,USA,Los Angeles,41,43948.59
2397,Brazil,Brasilia,38,69488.07
2398,USA,New York,73,40080.59
2399,Canada,Vancouver,59,41117.69
2400,Germany,Frankfurt,48,35209.28
2401,India,Bangalore,64,38634.53
2402,Canada,Montreal,75,54155.17
2403,Germany,Munich,58,62121.59
2404,Canada,Montreal,47,82323.77
2405,Brazil,Rio de Janeiro,73,58661.24
2406,India,Bangalore,51,32332.4
2407,USA,New York,35,68624.77
2408,USA,Chicago,29,57307.1
2409,Germany,Berlin,52,50430.4
2410,France,Paris,24,66009.63
2411,Brazil,Sao Paulo,58,85519.31
2412,Germany,Munich,57,47165.13
2413,France,Paris,42,37505.47
2414,Canada,Montreal,23,69911.45
2415,Brazil,Rio de Janeiro,18,89844.68
2416,Canada,Toronto,63,52173.27
2417,India,Delhi,33,50463.68
2418,Brazil,Rio de Janeiro,77,52581.76
2419,France,Lyon,65,56739.95
2420,India,Bangalore,21,28872.92
2421,USA,New York,46,54588.47
2422,France,Lyon,55,54101.84
2423,Germany,Munich,64,53238.94
2424,USA,Los Angeles,45,52505.07
2425,USA,New York,39,51444.16
2426,Germany,Munich,25,18480.27
2427,Brazil,Rio de Janeiro,49,39184.34
2428,USA,Chicago,50,62837.88
2429,France,Paris,30,66356.73
2430,India,Bangalore,44,43657.04
2431,USA,New York,35,35652.13
2432,France,Paris,35,60754.48
2433,Canada,Toronto,30,54092.53
2434,France,Marseille,39,48168.96
2435,India,Bangalore,79,62927.81
2436,France,Marseille,31,32319.13
2437,Germany,Frankfurt,28,67414.39
2438,India,Delhi,56,27469.53
2439,Brazil,Rio de Janeiro,67,37621.53
2440,Canada,Vancouver,70,34386.56
2441,Germany,Berlin,39,41263.15
2442,Brazil,Rio de Janeiro,53,54591.19
2443,France,Paris,34,60176.36
2444,India,Bangalore,68,48776.84
2445,Canada,Toronto,49,30835.82
2446,Germany,Berlin,31,19992.64
2447,Brazil,Rio de Janeiro,59,62695.58
2448,Brazil,Brasilia,74,60838.77
2449,Canada,Montreal,46,66063.11
2450,France,Lyon,23,48013.26
2451,Canada,Montreal,67,60022.33
2452,Brazil,Brasilia,74,40406.81
2453,USA,Chicago,21,57208.89
2454,Germany,Munich,28,42804.83
2455,Canada,Montreal,62,37786.21
2456,Brazil,Sao Paulo,57,53479.96
2457,France,Paris,27,52696.55
2458,Brazil,Brasilia,72,63674.17
2459,France,Lyon,45,30731.52
2460,Canada,Vancouver,28,63906.73
2461,France,Lyon,52,51948.38
2462,India,Bangalore,32,66019.39
2463,India,Bangalore,25,65864.53
2464,India,Mumbai,37,13496.91
2465,USA,Los Angeles,67,65729.5
2466,Canada,Toronto,76,66396.04
2467,Brazil,Sao Paulo,38,31125.29
2468,Brazil,Rio de Janeiro,18,26571.81
2469,USA,Chicago,46,61620.86
2470,France,Marseille,41,51704.17
2471,USA,New York,47,40363.72
2472,France,Paris,57,71581.74
2473,France,Paris,52,54538.11
2474,Germany,Berlin,50,18711.19
2475,Brazil,Rio de Janeiro,37,34736.21
2476,India,Mumbai,74,65635.07
2477,France,Paris,33,50537.0
2478,Germany,Frankfurt,26,39204.0
2479,Brazil,Brasilia,48,56787.28
2480,India,Bangalore,34,40884.47
2481,France,Lyon,76,31293.53
2482,France,Lyon,48,65250.67
2483,USA,Chicago,65,67512.97
2484,USA,Chicago,40,57217.03
2485,Brazil,Sao Paulo,23,26980.96
2486,India,Mumbai,47,77752.63
2487,France,Lyon,72,77240.57
2488,Brazil,Rio de Janeiro,24,69095.69
2489,Brazil,Sao Paulo,73,54556.28
2490,Canada,Montreal,65,51366.12
2491,USA,New York,57,56559.28
2492,India,Delhi,59,32876.06
2493,France,Lyon,63,41825.21
2494,Brazil,Sao Paulo,28,41206.17
2495,France,Paris,51,59107.53
2496,Canada,Toronto,29,53705.99
2497,India,Delhi,77,35625.69
2498,Brazil,Brasilia,77,26111.01
2499,France,Paris,69,55334.33
2500,USA,Los Angeles,69,34051.78
2501,Canada,Vancouver,62,31171.52
2502,India,Delhi,64,81447.14
2503,Canada,Toronto,44,84645.25
2504,USA,New York,75,43264.37
2505,India,Bangalore,29,22648.71
2506,Canada,Vancouver,30,68162.87
2507,Germany,Berlin,25,55041.52
2508,USA,Los Angeles,33,61550.26
2509,USA,Los Angeles,79,40478.7
2510,USA,Chicago,78,34425.53
2511,Germany,Berlin,46,46408.55
2512,Germany,Berlin,52,52614.33
2513,France,Lyon,77,39028.26
2514,Brazil,Rio de Janeiro,46,69449.75
2515,Canada,Montreal,48,23938.88
2516,France,Marseille,30,56138.88
2517,Canada,Montreal,29,51893.94
2518,Brazil,Brasilia,68,68282.31
2519,Germany,Frankfurt,78,35610.9
2520,Brazil,Brasilia,19,60587.44
2521,Germany,Munich,50,57156.59
2522,Brazil,Brasilia,25,53662.1
2523,France,Lyon,79,36701.5
2524,India,Delhi,58,38403.29
2525,France,Paris,74,45555.32
2526,Canada,Vancouver,76,42460.12
2527,France,Lyon,57,68901.69
2528,USA,Chicago,70,52033.37
2529,Canada,Vancouver,66,61921.4
2530,Brazil,Brasilia,58,28232.5
2531,Canada,Montreal,49,22370.43
2532,India,Bangalore,55,47332.81
2533,Germany,Berlin,45,30826.37
2534,Brazil,Brasilia,32,50598.19
2535,Canada,Vancouver,40,37353.42
2536,Brazil,Brasilia,41,54592.78
2537,Brazil,Brasilia,30,38257.43
2538,Brazil,Brasilia,38,58415.8
2539,Germany,Berlin,71,36785.0
2540,France,Lyon,29,22035.46
2541,Brazil,Sao Paulo,30,62790.55
2542,USA,Los Angeles,56,38469.07
2543,India,Mumbai,40,70587.55
2544,Germany,Munich,67,40377.43
2545,Canada,Toronto,63,37660.12
2546,Germany,Frankfurt,60,45739.61
2547,Canada,Toronto,45,41594.22
2548,Germany,Berlin,31,51892.52
2549,Canada,Montreal,34,56038.88
2550,Brazil,Brasilia,41,58314.19
2551,France,Lyon,70,48714.09
2552,Canada,Vancouver,75,27488.58
2553,Canada,Vancouver,51,75851.59
2554,USA,New York,68,44460.18
2555,Canada,Vancouver,65,43677.76
2556,USA,New York,39,48666.81
2557,India,Mumbai,27,46080.33
2558,Brazil,Rio de Janeiro,71,23764.21
2559,USA,Los Angeles,25,58624.48
2560,France,Paris,38,37693.68
2561,Brazil,Brasilia,54,45142.73
2562,USA,Chicago,24,76390.09
2563,Brazil,Sao Paulo,43,64167.31
2564,Brazil,Rio de Janeiro,30,74182.97
2565,Brazil,Sao Paulo,33,39844.81
2566,India,Mumbai,47,60950.54
2567,France,Lyon,48,56048.94
2568,Germany,Frankfurt,22,49180.65
2569,Germany,Berlin,49,38741.05
2570,USA,Chicago,33,66269.07
2571,Brazil,Brasilia,64,42288.3
2572,USA,Los Angeles,26,52044.24
2573,India,Mumbai,39,63696.7
2574,India,Mumbai,72,35349.09
2575,Canada,Montreal,61,33670.48
2576,India,Bangalore,57,87741.58
2577,Canada,Vancouver,62,37099.08
2578,France,Marseille,54,74251.03
2579,USA,Los Angeles,31,49204.95
2580,France,Paris,33,43611.87
2581,India,Delhi,60,45100.28
2582,France,Marseille,37,49066.75
2583,France,Paris,61,70068.7
2584,France,Lyon,32,61341.51
2585,India,Mumbai,73,46825.79
2586,Brazil,Rio de Janeiro,61,22012.57
2587,France,Marseille,43,50309.27
2588,Canada,Montreal,26,51992.54
2589,India,Mumbai,18,68877.75
2590,France,Paris,52,27948.11
2591,Brazil,Sao Paulo,61,42597.3
